container.title,created,deposited,published.print,doi,indexed,issn,issue,issued,page,publisher,source,subject,title,type,url,short.container.title,language
NIPPON SUISAN GAKKAISHI,2011-09-20,2021-05-19,1992,10.2331/suisan.58.1405,2022-06-20,"1349-998X,0021-5392",8,1992,1405-1410,Japanese Society of Fisheries Science,Crossref,Aquatic Science,"Growth, Population Age Structure and Mortality of the Limpet Collisella heroldi (DUNKER, 1861)(Gastropoda: Acmaeidae) in an Intertidal Rocky Shore, in Southern Hokkaido.",journal-article,http://dx.doi.org/10.2331/suisan.58.1405,NIPPON SUISAN GAKKAISHI,en
BENTHOS RESEARCH,2015-04-30,2019-08-24,2003,10.5179/benthos1996.58.1_7,2022-07-30,"0289-4548,1883-8901",1,2003,7-14,The Japanese Association of Benthology,Crossref,General Arts and Humanities,"Variability in the Reproductive Characteristics of Local Populations of an Intertidal Gastropod, Nerita japonica(Dunker)",journal-article,http://dx.doi.org/10.5179/benthos1996.58.1_7,BENTHOS RESEARCH,en
Japanese Journal of Ornithology,2011-09-20,2021-05-20,1933,10.3838/jjo1915.8.102,2022-04-02,"0040-9480,1881-9702",37,1933,102-110_1,JStage (Ornithological Society of Japan),Crossref,NA,On the Breeding of Eimberiza l. leucocephalos in Sakhalin,journal-article,http://dx.doi.org/10.3838/jjo1915.8.102,Japanese Journal of Ornithology,NA
Journal of Physics of the Earth,2011-05-31,2021-05-20,1972,10.4294/jpe1952.20.271,2022-06-24,"1884-2305,0022-3743",3,1972,271-285,Seismological Society of Japan,Crossref,General Earth and Planetary Sciences,TERRESTRIAL HEAT FLOW AND FEATURES OF THE UPPER MANTLE BENEATH THE PACIFIC AND THE SEA OF JAPAN,journal-article,http://dx.doi.org/10.4294/jpe1952.20.271,"J,Phys,Earth",en
Journal of Physics of the Earth,2011-05-31,2021-05-20,1988,10.4294/jpe1952.36.255,2023-02-01,"1884-2305,0022-3743",6,1988,255-266,Seismological Society of Japan,Crossref,General Earth and Planetary Sciences,A spectral approach to moho depths estimation from gravity measurements in Epirus (NW Greece).,journal-article,http://dx.doi.org/10.4294/jpe1952.36.255,"J,Phys,Earth",en
The Kurume Medical Journal,2011-06-09,2021-05-20,1980,10.2739/kurumemedj.27.37,2022-03-31,"0023-5679,1881-2090",1,1980,37-41,Kurume Medical Journal,Crossref,General Medicine,Enteric coated levodopa for the medical management of parkinsonism.,journal-article,http://dx.doi.org/10.2739/kurumemedj.27.37,Kurume Med. J.,en
The Kurume Medical Journal,2011-06-09,2021-05-20,1972,10.2739/kurumemedj.19.133,2022-04-02,"0023-5679,1881-2090",2,1972,133-136,Kurume Medical Journal,Crossref,General Medicine,THE EFFECT OF CHLORPROMAZINE ON CATECHOLAMINE CONTENTS IN RAT BRAINS,journal-article,http://dx.doi.org/10.2739/kurumemedj.19.133,Kurume Med. J.,en
Orthopedics &amp; Traumatology,2011-06-09,2021-05-19,1997,10.5035/nishiseisai.46.413,2022-03-28,"1349-4333,0037-1033",2,1997,413-415,West-Japanese Society of Orthopedics & Traumatology,Crossref,General Medicine,Treatment of Femoral Neck Fractures in Patients with Pre-existing Physical or Mental Problems.,journal-article,http://dx.doi.org/10.5035/nishiseisai.46.413,Orthopedics &amp; Traumatology,NA
Bulletin of the Chemical Society of Japan,2002-09-06,2020-03-06,2000-08,10.1246/bcsj.73.1919,2022-04-03,"0009-2673,1348-0634",8,2000-08,1919-1923,The Chemical Society of Japan,Crossref,General Chemistry,High Magnetic Field Effects on Interdigitated Microarray Electrodes,journal-article,http://dx.doi.org/10.1246/bcsj.73.1919,BCSJ,en
Crustacean Research,2017-12-25,2017-12-25,2006,10.18353/crustacea.special2006.6_133,2022-04-05,"0287-3478,2189-5317",6,2006,133-149,Carcinological Society of Japan,Crossref,General Medicine,Descriptions of color patterns in selected species of pagurid hermit crabs with sexual tubes (Decapoda: Anomura: Paguridae) from Japan,journal-article,http://dx.doi.org/10.18353/crustacea.special2006.6_133,Crust Res,en
Japanese Journal of Water Treatment Biology,2012-02-06,2012-02-06,1988,10.2521/jswtb.24.2_44,2022-04-03,"0910-6758,1881-0438",2,1988,44-48,Japanese Society of Water Treatment Biology,Crossref,NA,Taxonomical Studies on Pennate Diatom Fragilaria pinnata Ehr.,journal-article,http://dx.doi.org/10.2521/jswtb.24.2_44,Japanese J. Wat. Treat. Biol.,NA
Proceedings of the Imperial Academy,2018-08-07,2018-08-11,1934,10.2183/pjab1912.10.282,2022-04-02,"0369-9846,1881-1140",5,1934,282-285,Japan Academy,Crossref,General Medicine,Relative Antiquity of the Naiporo and Estru Coalbearings Group of the Japanese Saghalin,journal-article,http://dx.doi.org/10.2183/pjab1912.10.282,Proceedings of the Imperial Academy,en
HISPANICA / HISPÁNICA,2020-03-12,2020-03-14,2019-12-25,10.4994/hispanica.2019.161,2022-04-05,"0910-7789,1884-0574",63,2019-12-25,161-166,Japonesa,Crossref,General Chemical Engineering,&lt;i&gt;Francisco de Goya: una mirada desde México&lt;/i&gt;,journal-article,http://dx.doi.org/10.4994/hispanica.2019.161,"HISPANICA/HISPÁNICA/ISPANICA/ISPANIKA,Japanese Association of Hispanists / Asociacion Japonesa de Hispanistas,Isupanika,HISPANICA / HISPÁNICA",en
Japanese Journal of Water Treatment Biology,2012-02-06,2012-02-06,1988,10.2521/jswtb.24.2_30,2022-03-31,"0910-6758,1881-0438",2,1988,30-36,Japanese Society of Water Treatment Biology,Crossref,NA,Taxonomical Studies on Pennate Diatom Fragilaria pinnata Ehr.,journal-article,http://dx.doi.org/10.2521/jswtb.24.2_30,Japanese J. Wat. Treat. Biol.,NA
Journal of Architecture and Planning (Transactions of AIJ),2022-02-28,2023-01-28,2022-03-01,10.3130/aija.87.656,2023-01-29,"1340-4210,1881-8161",793,2022-03-01,656-667,Architectural Institute of Japan,Crossref,"General Earth and Planetary Sciences,General Engineering,General Environmental Science",&lt;i&gt;CAVEA&lt;/i&gt; PLAN OF ROMAN THEATRES (PART 1) : UNTIL THE EARLY FIRST CENTURY B.C.,journal-article,http://dx.doi.org/10.3130/aija.87.656,"Transactions of AIJ,Journal of Architecture and Planning,Nihon Kenchiku Gakkai Keikakukei Ronbunshu,J. Archit. Plann.,Journal of Architecture and Planning (Transactions of AIJ)",en
JOURNAL OF CHEMICAL ENGINEERING OF JAPAN,2002-08-26,2021-03-22,2001,10.1252/jcej.34.340,2022-10-25,"0021-9592,1881-1299",3,2001,340-350,"Society of Chemical Engineers, Japan",Crossref,"General Chemical Engineering,General Chemistry",Output Feedback Control of Uncertain Nonlinear Systems.,journal-article,http://dx.doi.org/10.1252/jcej.34.340,"J. Chem. Eng. Japan,J. Chem. Eng. Japan /  JCEJ,Journal of Chemical Engineering of Japan,jcej",en
Applied Entomology and Zoology,2017-09-07,2019-10-03,1971,10.1303/aez.6.119,2022-04-02,"0003-6862,1347-605X",3,1971,119-125,Japanese Society of Applied Entomology & Zoology,Crossref,Insect Science,"Studies on the Feeding Habits of Lygus disponsi LINNAVUORI(Hemiptera : Miridae) and the Injury to its Host Plant II. Frequency, Duration and Quantity of the Feeding",journal-article,http://dx.doi.org/10.1303/aez.6.119,"Appl. Entomol. Zool.,Appl. entomol. Zool",en
Japanese journal of science and technology for identification,2009-11-27,2021-05-20,2001,10.3408/jasti.5.105,2022-03-31,"1882-2827,1342-8713",2,2001,105-112,Japanese Association of Forensic Science and Technology,Crossref,NA,NA,journal-article,http://dx.doi.org/10.3408/jasti.5.105,Jpn. J. Sci. Tech. Iden.,NA
Journal of the Ceramic Society of Japan,2005-05-02,2021-04-30,2005,10.2109/jcersj.113.380,2022-03-29,"0914-5400,1882-1022",1317,2005,380-382,Ceramic Society of Japan,Crossref,"Materials Chemistry,Condensed Matter Physics,General Chemistry,Ceramics and Composites",Kinetic Study on Nano-ZrO2 from ZrOCl2 Solution Modified with Diglycol,journal-article,http://dx.doi.org/10.2109/jcersj.113.380,"J. Ceram. Soc. Japan,Nippon Seramikkusu Kyokai gakujutsu ronbunshi",en
Chemistry Letters,2003-09-01,2016-08-24,1999-08,10.1246/cl.1999.725,2022-06-18,"0366-7022,1348-0715",8,1999-08,725-726,The Chemical Society of Japan,Crossref,General Chemistry,Electrochemical Evaluation of Interaction between Avidin and Biotin Self-assembled Using Marker Ions,journal-article,http://dx.doi.org/10.1246/cl.1999.725,Chem. Lett.,en
Folia Endocrinologica Japonica,2014-11-18,2021-04-13,1977,10.1507/endocrine1927.53.6_785,2022-03-30,0029-0661,6,1977,785-796,Japan Endocrine Society,Crossref,"Computer Networks and Communications,Hardware and Architecture,Software","An improved method for the simultaneous analysis of norepinephrine, epinephrine and dopamine at the picogram level by mass fragmentography",journal-article,http://dx.doi.org/10.1507/endocrine1927.53.6_785,Folia Endocrinol,en
Journal of Geography (Chigaku Zasshi),2011-07-13,2021-05-19,1950,10.5026/jgeography.59.2,2022-03-30,"0022-135X,1884-0884",1-2,1950,2-9,Tokyo Geographical Society,Crossref,"Earth-Surface Processes,Geology,Geophysics,Geography, Planning and Development,Global and Planetary Change","The Excavation Progress of Chonkoutien Cave Deposit, North China",journal-article,http://dx.doi.org/10.5026/jgeography.59.2,Journal of Geography (Chigaku Zasshi),NA
Species Diversity,2016-07-12,2022-07-02,2016,10.12782/sd.21.1.079,2022-07-03,"1342-1670,2189-7301",1,2016,79-83,Japanese Society of Systematic Zoology,Crossref,"Animal Science and Zoology,Ecology, Evolution, Behavior and Systematics","First Records of the Luminous Deepwater Cardinalfish (Perciformes: Epigonidae), &lt;i&gt;Epigonus macrops&lt;/i&gt; (Brauer, 1906), from the Southeastern Atlantic and Timor Sea",journal-article,http://dx.doi.org/10.12782/sd.21.1.079,Spec.Div.,en
NMC Case Report Journal,2021-06-09,2021-06-10,2021,10.2176/nmccrj.cr.2020-0090,2023-02-15,2188-4226,1,2021,177-182,Japan Neurosurgical Society,Crossref,General Medicine,Symptomatic Cavernous Internal Carotid Artery Aneurysm Complicated by Simultaneous Rapid Growth of the Intra-aneurysmal and Parent Artery Thromboses,journal-article,http://dx.doi.org/10.2176/nmccrj.cr.2020-0090,NA,en
"The Proceedings of Mechanical Engineering Congress, Japan",2017-06-24,2017-06-24,2012,10.1299/jsmemecj.2012._f222005-1,2022-03-29,2424-2667,0,2012,_F222005-1,Japan Society of Mechanical Engineers,Crossref,NA,F222005 Development of Advanced DNA Sequencers by Quantum and Molecular Fluid Dynamics,journal-article,http://dx.doi.org/10.1299/jsmemecj.2012._f222005-1,NA,en
Seibutsu Butsuri,2017-05-04,2017-05-04,2010,10.2142/biophys.50.s97_5,2022-04-01,"0582-4052,1347-4219",supplement2,2010,S97,Biophysical Society of Japan,Crossref,General Medicine,2P089 Single particle analysis of the 26S proteasome by high-resolution electron cryo-microscopy and advanced image analysis(The 48th Annual Meeting of the Biophysical Society of Japan),journal-article,http://dx.doi.org/10.2142/biophys.50.s97_5,"Biophysics,Seibutsu Butsuri",en
Seibutsu Butsuri,2017-05-05,2017-05-05,2010,10.2142/biophys.50.s97_4,2022-04-04,"0582-4052,1347-4219",supplement2,2010,S97,Biophysical Society of Japan,Crossref,General Medicine,2P088 Analysis of interactions between antimicrobial peptides from invertebrates and lipid membranes(The 48th Annual Meeting of the Biophysical Society of Japan),journal-article,http://dx.doi.org/10.2142/biophys.50.s97_4,"Biophysics,Seibutsu Butsuri",en
Seibutsu Butsuri,2017-05-04,2017-05-04,2010,10.2142/biophys.50.s97_3,2022-04-03,"0582-4052,1347-4219",supplement2,2010,S97,Biophysical Society of Japan,Crossref,General Medicine,"2P087 Growth defect caused by the in-frame deletion mutant of PomB, a Na^+-driven stator component, in Vibrio alginolyticus(The 48th Annual Meeting of the Biophysical Society of Japan)",journal-article,http://dx.doi.org/10.2142/biophys.50.s97_3,"Biophysics,Seibutsu Butsuri",en
Seibutsu Butsuri,2017-05-04,2017-05-04,2010,10.2142/biophys.50.s97_2,2022-03-29,"0582-4052,1347-4219",supplement2,2010,S97,Biophysical Society of Japan,Crossref,General Medicine,2P086 The analysis of the interaction beetween Sup35 protein aggregate and molecular chaperon Hsp104 by FCCS(The 48th Annual Meeting of the Biophysical Society of Japan),journal-article,http://dx.doi.org/10.2142/biophys.50.s97_2,"Biophysics,Seibutsu Butsuri",en
Seibutsu Butsuri,2017-05-05,2017-05-05,2010,10.2142/biophys.50.s97_1,2022-03-29,"0582-4052,1347-4219",supplement2,2010,S97,Biophysical Society of Japan,Crossref,General Medicine,2P085 Application of the free energy variational principle to prediction of relation binding free energies based on several molecular indices(The 48th Annual Meeting of the Biophysical Society of Japan),journal-article,http://dx.doi.org/10.2142/biophys.50.s97_1,"Biophysics,Seibutsu Butsuri",en
Endocrinologia Japonica,2011-09-13,2021-04-16,1988,10.1507/endocrj1954.35.463,2022-03-29,"0013-7219,2185-6370",3,1988,463-467,Japan Endocrine Society,Crossref,"General Engineering,Endocrinology",Expression and Regulation of c-erb-A mRNA from Lymphocytes in Patients with Thyroid Dysfunction.,journal-article,http://dx.doi.org/10.1507/endocrj1954.35.463,Endocrinol Japon,en
The Japanese Journal of Veterinary Science,2011-08-16,2021-03-31,1983,10.1292/jvms1939.45.313,2022-04-03,"0021-5295,1881-1442",3,1983,313-321,Japanese Society of Veterinary Science,Crossref,General Medicine,"Intercellular junction of urodeal and phallic epithelial cells in the guinea fowl, Numida meleagris.",journal-article,http://dx.doi.org/10.1292/jvms1939.45.313,The Japanese Journal of Veterinary Science,en
The Japanese Journal of Veterinary Science,2011-08-16,2021-03-31,1984,10.1292/jvms1939.46.425,2022-04-04,"0021-5295,1881-1442",4,1984,425-435,Japanese Society of Veterinary Science,Crossref,General Medicine,"Vascular System of Paracloacal Vascular Body in the Guinea Fowl, Numida meleagris",journal-article,http://dx.doi.org/10.1292/jvms1939.46.425,The Japanese Journal of Veterinary Science,en
Nihon Chikusan Gakkaiho,2011-09-20,2021-05-20,1934,10.2508/chikusan.7.209,2022-04-04,"1346-907X,1880-8255",NA,1934,209-213,Japanese Society of Animal Science,Crossref,"Electrical and Electronic Engineering,Building and Construction",NA,journal-article,http://dx.doi.org/10.2508/chikusan.7.209,Nihon Chikusan Gakkaiho,ja
Nihon Chikusan Gakkaiho,2011-09-20,2021-05-20,1944,10.2508/chikusan.16.27,2022-03-30,"1346-907X,1880-8255",1,1944,27-32,Japanese Society of Animal Science,Crossref,"Electrical and Electronic Engineering,Building and Construction",NA,journal-article,http://dx.doi.org/10.2508/chikusan.16.27,Nihon Chikusan Gakkaiho,ja
Nihon Chikusan Gakkaiho,2011-09-20,2021-05-20,1937,10.2508/chikusan.10.200,2022-04-02,"1346-907X,1880-8255",3-4,1937,200-204,Japanese Society of Animal Science,Crossref,"Electrical and Electronic Engineering,Building and Construction",NA,journal-article,http://dx.doi.org/10.2508/chikusan.10.200,Nihon Chikusan Gakkaiho,ja
Journal of Toxicologic Pathology,2014-01-05,2021-03-31,2014,10.1293/tox.2013-0040,2022-03-29,"0914-9198,1881-915X",1,2014,81-85,Japanese Society of Toxicologic Pathology,Crossref,"Toxicology,Pathology and Forensic Medicine",Costal Mesenchymal Chondrosarcoma with Diffuse Pleural and Pericardial Explantation in a Pygmy Goat,journal-article,http://dx.doi.org/10.1293/tox.2013-0040,J Toxicol Pathol,en
Nihon Chikusan Gakkaiho,2011-09-20,2021-05-20,1939,10.2508/chikusan.12.1,2022-04-02,"1346-907X,1880-8255",NA,1939,1-19,Japanese Society of Animal Science,Crossref,"Electrical and Electronic Engineering,Building and Construction",NA,journal-article,http://dx.doi.org/10.2508/chikusan.12.1,Nihon Chikusan Gakkaiho,ja
Journal of the Japan Veterinary Medical Association,2014-11-20,2014-11-20,1973,10.12935/jvma1951.26.373,2022-04-02,"0446-6454,2186-0211",7,1973,373-377,Japan Veterinary Medical Association,Crossref,General Earth and Planetary Sciences,Anthelmintic Effect of Parbendazole against Capillaria perforans and Heterakis sp. in Guinea Fowls,journal-article,http://dx.doi.org/10.12935/jvma1951.26.373,J.Jpn.Vet.Med.Assoc.,en
Journal of the Yamashina Institute for Ornithology,2009-02-18,2021-05-20,2006,10.3312/jyio.38.30,2022-03-31,"1348-5032,1882-0999",1,2006,30-39,Yamashina Institute for Ornithology,Crossref,Animal Science and Zoology,Applicability of a Wireless Fidelity Positioning System to Tracking Free-range Domestic Fowl (Gallus gallus domesticus) and Helmeted Guineafowl (Numida meleagris galeata),journal-article,http://dx.doi.org/10.3312/jyio.38.30,J Yamashina Inst Ornithol,NA
PLANT MORPHOLOGY,2012-02-27,2021-05-20,1992,10.5685/plmorphol.4.12,2022-04-02,"1884-4154,0918-9726",1,1992,12-17,The Japanese Society of Plant Morphology,Crossref,General Medicine,Variations of leaf-shape of some species of Homalomena(Araceae)and Viola rheophila(Violaceae)distributed at rheophytic habitats,journal-article,http://dx.doi.org/10.5685/plmorphol.4.12,PLANT MORPHOL,NA
Tropics,2009-09-16,2021-05-20,1991,10.3759/tropics.1.59,2022-09-09,"0917-415X,1882-5729",1,1991,59-73,The Japan Society of Tropical Ecology,Crossref,NA,Pollination of Four Sumatran Impatiens Species by Hawkmoths and Bees.,journal-article,http://dx.doi.org/10.3759/tropics.1.59,Tropics,NA
Chemical and Pharmaceutical Bulletin,2011-12-07,2019-06-21,1995-02-15,10.1248/cpb.43.365,2022-12-30,"0009-2363,1347-5223",2,1995-02-15,365-367,Pharmaceutical Society of Japan,Crossref,"Drug Discovery,General Chemistry,General Medicine",TAXOL AND ITS RELATED TAXOIDS FROM THE NEEDLES OF TAXUS SUMATRANA,journal-article,http://dx.doi.org/10.1248/cpb.43.365,"CHEMICAL &amp; PHARMACEUTICAL BULLETIN,Chem. Pharm. Bull.",en
Japanese Journal of Phytopathology,2011-09-13,2021-05-20,1935,10.3186/jjphytopath.5.30,2022-03-30,"1882-0484,0031-9473",1,1935,30-43,The Phytopathological Society of Japan,Crossref,NA,On the intracellular bodies associated with the mosaic disease of the lily (Preliminary report),journal-article,http://dx.doi.org/10.3186/jjphytopath.5.30,Jpn. J. Phytopathol.,NA
JOURNAL OF INDIAN AND BUDDHIST STUDIES (INDOGAKU BUKKYOGAKU KENKYU),2011-07-13,2021-05-19,1968,10.4259/ibk.17.374,2022-04-06,"1884-0051,0019-4344",1,1968,374-377,Japanese Association of Indian and Buddhist Studies,Crossref,NA,A Rhetorical Classification of the Buddhist Texts,journal-article,http://dx.doi.org/10.4259/ibk.17.374,jibs,NA
Journal of Oleo Science,2023-01-10,2023-02-04,2023,10.5650/jos.ess22315,2023-02-05,"1345-8957,1347-3352",2,2023,179-188,Japan Oil Chemists' Society,Crossref,"General Chemical Engineering,General Medicine,General Chemistry",Antioxidant Activity of Usnic Acid Compound from Methanol Extract of Lichen &lt;i&gt;Usnea&lt;/i&gt; sp.,journal-article,http://dx.doi.org/10.5650/jos.ess22315,J. Oleo Sci.,en
Chemical and Pharmaceutical Bulletin,2011-12-08,2021-03-17,1988,10.1248/cpb.36.3574,2022-10-27,"0009-2363,1347-5223",9,1988,3574-3583,Pharmaceutical Society of Japan,Crossref,"Drug Discovery,General Chemistry,General Medicine",Liposomal sustained-release delivery systems for intravenous injection. IV. Antitumor activity of newly synthesized lipophilic 1-.BETA.-D-arabinofuranosylcytosine prodrug-bearing liposomes.,journal-article,http://dx.doi.org/10.1248/cpb.36.3574,"CHEMICAL &amp; PHARMACEUTICAL BULLETIN,Chem. Pharm. Bull.",en
Mokuzai Gakkaishi,2023-01-27,2023-01-28,2023-01-25,10.2488/jwrs.69.41,2023-01-29,"0021-4795,1880-7577",1,2023-01-25,41-48,Japan Wood Society,Crossref,General Chemical Engineering,Re-evaluation of the Assessment Done by FFPRI to Elucidate the Natural Durability of Heartwood,journal-article,http://dx.doi.org/10.2488/jwrs.69.41,"Mokuzai Gakkaishi,Journal of the Japan Wood Research Society",en
Chemical and Pharmaceutical Bulletin,2002-10-11,2021-03-18,2001,10.1248/cpb.49.771,2023-02-12,"0009-2363,1347-5223",6,2001,771-772,Pharmaceutical Society of Japan,Crossref,"Drug Discovery,General Chemistry,General Medicine","A New Secoiridoid Glucoside, Amaronitidin, from the Peruvian Folk Medicine ""Hercampuri"" (Gentianella nitida).",journal-article,http://dx.doi.org/10.1248/cpb.49.771,"CHEMICAL &amp; PHARMACEUTICAL BULLETIN,Chem. Pharm. Bull.",en
Chemical and Pharmaceutical Bulletin,2005-04-01,2021-03-18,2005,10.1248/cpb.53.419,2022-11-03,"0009-2363,1347-5223",4,2005,419-421,Pharmaceutical Society of Japan,Crossref,"Drug Discovery,General Chemistry,General Medicine",Flavonoids from Millettia nitida var. hirsutissima,journal-article,http://dx.doi.org/10.1248/cpb.53.419,"CHEMICAL &amp; PHARMACEUTICAL BULLETIN,Chem. Pharm. Bull.",en
Species Diversity,2018-04-10,2019-10-14,2004,10.12782/specdiv.9.375,2022-04-02,"1342-1670,2189-7301",4,2004,375-381,Japanese Society of Systematic Zoology,Crossref,"Animal Science and Zoology,Ecology, Evolution, Behavior and Systematics","Occurrence of the Genus Scythropochroa (Insecta: Diptera: Sciaridae) in Japan, with Descriptions of the Female and Larva",journal-article,http://dx.doi.org/10.12782/specdiv.9.375,Spec.Div.,en
Applied Entomology and Zoology,2017-09-07,2019-10-03,1994,10.1303/aez.29.331,2022-04-02,"0003-6862,1347-605X",3,1994,331-338,Japanese Society of Applied Entomology & Zoology,Crossref,Insect Science,"Distribution of Carbohydrases and Proteases in the Intestine of the Kola Nut Weevil, Sophrorhinus insperatus FAUST (Coleoptera: Curculionidae) and Response of Proteases to Inhibitors from Kola Nuts",journal-article,http://dx.doi.org/10.1303/aez.29.331,"Appl. Entomol. Zool.,Appl. entomol. Zool",en
Medical Entomology and Zoology,2016-08-22,2016-08-22,1996,10.7601/mez.47.68_2,2022-04-02,"0424-7086,2185-5609",Supplement,1996,68,Japan Society of Medical Entomology and Zoology,Crossref,NA,138 Morphological studies of the spongy fossulae of Triatomine bugs in Guatemala,journal-article,http://dx.doi.org/10.7601/mez.47.68_2,"Jap. J. Sanit. Zool.,Med. Entomol. Zool.,Jpn. J. Sanit. Zool.",en
Medical Entomology and Zoology,2016-08-22,2016-08-22,1996,10.7601/mez.47.68_1,2022-04-01,"0424-7086,2185-5609",Supplement,1996,68,Japan Society of Medical Entomology and Zoology,Crossref,NA,137 Fine structure and distribution of photoreceptor like cells under antacoria of antennae in the American cockroaches,journal-article,http://dx.doi.org/10.7601/mez.47.68_1,"Jap. J. Sanit. Zool.,Med. Entomol. Zool.,Jpn. J. Sanit. Zool.",en
Chemical and Pharmaceutical Bulletin,2011-12-08,2021-03-18,1997,10.1248/cpb.45.1717,2022-12-30,"0009-2363,1347-5223",10,1997,1717-1719,Pharmaceutical Society of Japan,Crossref,"Drug Discovery,General Chemistry,General Medicine","Nitidasin, a Novel Sesterterpenoid, from the Peruvian Folk Medicine ""Hercampuri"" (Gentianella nitida).",journal-article,http://dx.doi.org/10.1248/cpb.45.1717,"CHEMICAL &amp; PHARMACEUTICAL BULLETIN,Chem. Pharm. Bull.",en
Crustacean Research,2017-05-14,2022-07-28,1998,10.18353/crustacea.27.0_88,2022-11-08,"0287-3478,2189-5317",0,1998,88-100,Carcinological Society of Japan,Crossref,General Medicine,Three new records of deep-sea squat lobsters of the genus Munidopsis Whiteaves from the southwestern Atlantic Ocean (Decapoda: Galatheidae),journal-article,http://dx.doi.org/10.18353/crustacea.27.0_88,Crust Res,en
Chemical and Pharmaceutical Bulletin,2011-12-08,2021-03-18,1999,10.1248/cpb.47.1344,2022-12-30,"0009-2363,1347-5223",9,1999,1344-1345,Pharmaceutical Society of Japan,Crossref,"Drug Discovery,General Chemistry,General Medicine","A Novel Sesterterpenoid, Nitiol, as a Potent Enhancer of IL-2 Gene Expression in a Human T Cell Line, from the Peruvian Folk Medicine ""Hercumpuri"" (Gentianella nitida).",journal-article,http://dx.doi.org/10.1248/cpb.47.1344,"CHEMICAL &amp; PHARMACEUTICAL BULLETIN,Chem. Pharm. Bull.",en
Nippon Saikingaku Zasshi,2010-08-27,2021-05-20,2010,10.3412/jsb.65.343,2022-04-02,"1882-4110,0021-4930",3,2010,343-353,Japanese Society for Bacteriology,Crossref,General Medicine,Molecular mechanism of the borrelial proteins at interface with host and vector tick interactions,journal-article,http://dx.doi.org/10.3412/jsb.65.343,"Nihon Saikingaku Zasshi,JAPANESE JOURNAL OF BACTERIOLOGY,Nippon Saikingaku Zasshi",ja
Medical Entomology and Zoology,2019-12-24,2020-01-25,2019-12-25,10.7601/mez.70.189,2022-04-01,"0424-7086,2185-5609",4,2019-12-25,189-197,Japan Society of Medical Entomology and Zoology,Crossref,NA,Tick factors associated pathogen transmission～Tick immunosuppressants in saliva～,journal-article,http://dx.doi.org/10.7601/mez.70.189,"Jap. J. Sanit. Zool.,Med. Entomol. Zool.,Jpn. J. Sanit. Zool.",en
Journal of Veterinary Medical Science,2005-12-05,2021-07-21,2005,10.1292/jvms.67.1127,2022-06-12,"0916-7250,1347-7439",11,2005,1127-1131,Japanese Society of Veterinary Science,Crossref,General Veterinary,Random Sequencing of cDNA Library Derived from Partially-Fed Adult Female Haemaphysalis longicornis Salivary Gland,journal-article,http://dx.doi.org/10.1292/jvms.67.1127,"The Journal of Veterinary Medical Science,J. Vet. Med. Sci.",en
Journal of the Acarological Society of Japan,2007-03-06,2021-05-20,2006,10.2300/acari.15.109,2023-01-07,"0918-1067,1880-2273",2,2006,109-127,Acarological Society of Japan,Crossref,"Computer Networks and Communications,Hardware and Architecture,Software",Innate Immunity in Ticks: A review,journal-article,http://dx.doi.org/10.2300/acari.15.109,J. Acarol. Soc. Jpn.,NA
Medical Entomology and Zoology,2019-12-24,2022-10-09,2019-12-25,10.7601/mez.70.175,2022-10-10,"0424-7086,2185-5609",4,2019-12-25,175-179,Japan Society of Medical Entomology and Zoology,Crossref,Immunology and Allergy,Characteristics and application of tick cell lines,journal-article,http://dx.doi.org/10.7601/mez.70.175,"Jap. J. Sanit. Zool.,Med. Entomol. Zool.,Jpn. J. Sanit. Zool.",en
Japanese Journal of Ornithology,2017-04-20,2017-04-20,1941,10.3838/jjo1915.11.51-52_190,2022-04-04,"0040-9480,1881-9702",51-52,1941,190-190,JStage (Ornithological Society of Japan),Crossref,NA,Erratum to :  Some Additions to the&amp;ldquo;List of the Birds of Micronesia&amp;rdquo;,journal-article,http://dx.doi.org/10.3838/jjo1915.11.51-52_190,Japanese Journal of Ornithology,en
Medical Entomology and Zoology,2016-08-22,2020-09-25,1995,10.7601/mez.46.241,2022-04-02,"0424-7086,2185-5609",3,1995,241-247,Japan Society of Medical Entomology and Zoology,Crossref,NA,Ixodes persulcatus and Lyme disease spirochete : Comparison of development between infected and noninfected ticks,journal-article,http://dx.doi.org/10.7601/mez.46.241,"Jap. J. Sanit. Zool.,Med. Entomol. Zool.,Jpn. J. Sanit. Zool.",en
Folia Anatomica Japonica,2014-03-18,2019-08-08,1923,10.2535/ofaj1922.1.6_313,2022-04-05,2187-0152,6,1923,313-343,Department of Anatomy Keio University School of Medicine,Crossref,"General Earth and Planetary Sciences,General Environmental Science",^|^Uuml;ber die allgemeine Differenzierung der Stammmuskulatur. I. Phylogenetische Differenzierung der Stammmuskulatur bei Fischen.,journal-article,http://dx.doi.org/10.2535/ofaj1922.1.6_313,Folia Anatomica Japonica,en
Medical Entomology and Zoology,2016-08-17,2016-08-17,1998,10.7601/mez.49.158_4,2022-03-29,"0424-7086,2185-5609",2,1998,158,Japan Society of Medical Entomology and Zoology,Crossref,NA,Prevalence of Antibodies against Orientia tsutsugamushi in Wild Rodents by Indirect Immunofluorescence Antibody Assay using Filter Paper Blood Specimens,journal-article,http://dx.doi.org/10.7601/mez.49.158_4,"Jap. J. Sanit. Zool.,Med. Entomol. Zool.,Jpn. J. Sanit. Zool.",en
